business_id,name,city,state,address,postal_code,rating,review_count,price,price_level,is_closed,categories_alias,categories_title,latitude,longitude,search_location,search_category
cs6HfZNykLVitm09jWFqWg,Moonshine Grill,Austin,TX,"303 Red River St, Austin, TX 78701",78701,4.4,6314,$$,2,f,"southern, breakfast_brunch, cocktailbars","southern, breakfast & brunch, cocktail bars",30.26375388334444,-97.738076861816,"Austin, TX",restaurants
He2KYtXXfaIR0nkCXH5xiQ,Loro Asian Smokehouse & Bar,Austin,TX,"2115 S Lamar Blvd, Austin, TX 78704",78704,4.3,2497,$$,2,f,"smokehouse, asianfusion, cocktailbars","smokehouse, asian fusion, cocktail bars",30.24773956571551,-97.77135488952511,"Austin, TX",restaurants
Rba9Ol4jnTiov6_iAuoF5g,1618 Asian Fusion,Austin,TX,"1618 E Riverside Dr, Austin, TX 78741",78741,4.7,3856,$$,2,f,"vietnamese, thai, dimsum","vietnamese, thai, dim sum",30.245474,-97.730411,"Austin, TX",restaurants
BHZ9puL8YuHE-YEdkmxH-g,Canje,Austin,TX,"1914 E 6th St, Ste C, Austin, TX 78702",78702,4.5,574,$$$,3,f,caribbean,caribbean,30.26177,-97.72232,"Austin, TX",restaurants
YZs1gNSh_sN8JmN_nrpxeA,Terry Black's Barbecue,Austin,TX,"1003 Barton Springs Rd, Austin, TX 78704",78704,4.5,8396,$$,2,f,"bbq, sandwiches, southern","barbeque, sandwiches, southern",30.2596915716907,-97.7548013627529,"Austin, TX",restaurants
KIHoGUfCOLhBFQVSAN4QSg,Suerte,Austin,TX,"1800 E 6th St, Austin, TX 78702",78702,4.3,1281,$$$,3,f,"mexican, breakfast_brunch","mexican, breakfast & brunch",30.26228,-97.72331,"Austin, TX",restaurants
fTpp8kuKOITj1KSEz9UG2Q,Qi Austin,Austin,TX,"835 West 6th St, Unit 114, Austin, TX 78703",78703,4.4,850,$$,2,f,dimsum,dim sum,30.27058605281438,-97.75251467522534,"Austin, TX",restaurants
AcFt364BrHyMu3VrSCKMOw,Salty Sow,Austin,TX,"1917 Manor Rd, Austin, TX 78722",78722,4.3,3394,$$$,3,f,"tradamerican, gastropubs","american, gastropubs",30.2836497259461,-97.7213180065155,"Austin, TX",restaurants
uPWJtYJi76EniU0xrX-zbA,Odd Duck,Austin,TX,"1201 S Lamar Blvd, Austin, TX 78704",78704,4.4,2397,$$$,3,f,"tradamerican, bars","american, bars",30.25452,-97.762064,"Austin, TX",restaurants
XOo0oa5sXCZGjKXapIN95w,Red Ash,Austin,TX,"303 Colorado St, Austin, TX 78701",78701,4.4,1498,$$$$,4,f,"italian, seafood, tapasmallplates","italian, seafood, tapas/small plates",30.26588,-97.744672,"Austin, TX",restaurants
4sfF1paqVfXvzAIdzs6MQg,Uchiko Austin,Austin,TX,"4200 N Lamar Blvd, Austin, TX 78756",78756,4.5,2376,$$$$,4,f,"sushi, gluten_free, japanese","sushi bars, gluten-free, japanese",30.31078344245359,-97.7399856448906,"Austin, TX",restaurants
J8Ha6yIvGoU-E31jnCq7Ew,Barley Swine,Austin,TX,"6555 Burnet Rd, Ste 400, Austin, TX 78757",78757,4.4,1284,$$$$,4,f,"newamerican, bars","new american, bars",30.3412737661652,-97.7383886364151,"Austin, TX",restaurants
P2fi7qugfLPOFSxscpaAxg,Anthem,Austin,TX,"91 Rainey St, Ste 120, Austin, TX 78701",78701,4.4,799,$$,2,f,"tradamerican, beerbar, cocktailbars","american, beer bar, cocktail bars",30.2603388,-97.738071,"Austin, TX",restaurants
bZiIIUcpgxh8mpKMDhdqbA,Hopdoddy Burger Bar,Austin,TX,"1400 S Congress Ave, Ste A190, Austin, TX 78704",78704,4.2,5361,$$,2,f,"burgers, tradamerican","burgers, american",30.249599774821025,-97.74996767434698,"Austin, TX",restaurants
GwAFL29gpnEIjAG9MauMig,Aba,Austin,TX,"1011 S Congress Ave, Bldg 2, Ste 180, Austin, TX 78704",78704,4.4,1761,$$$,3,f,"mediterranean, bars, seafood","mediterranean, bars, seafood",30.25357,-97.74803,"Austin, TX",restaurants
28RuK9yoG0k0LLGM7fqKQQ,Lin Asian Bar And Dim Sum,Austin,TX,"1203 W 6th St, Austin, TX 78703",78703,4.2,1269,$$$,3,f,"dimsum, cocktailbars, cantonese","dim sum, cocktail bars, cantonese",30.27281,-97.75799,"Austin, TX",restaurants
zFaHweOJ40jjtvpGTjlspw,Uchi Austin,Austin,TX,"801 S Lamar Blvd, Austin, TX 78704",78704,4.4,3145,$$$$,4,f,"sushi, japanese, beer_and_wine","sushi bars, japanese, beer, wine & spirits",30.25753918349428,-97.75979576540756,"Austin, TX",restaurants
-IIvmjoEKa9Trhf4OxzJeA,Caroline,Austin,TX,"621 Congress Ave, Ste 101, Austin, TX 78701",78701,4.2,1590,$$,2,f,"bakeries, newamerican, breakfast_brunch","bakeries, new american, breakfast & brunch",30.2688377,-97.7423301,"Austin, TX",restaurants
wKQNqpvphl0zGCv9JuIN8Q,J Carver’s,Austin,TX,"509 Rio Grande St, Austin, TX 78701",78701,4.5,271,$$$$,4,f,"steak, seafood, cocktailbars","steakhouses, seafood, cocktail bars",30.26954398783698,-97.74950906575312,"Austin, TX",restaurants
feNjLEC9gZ5QdPlQ05SDwQ,Hestia,Austin,TX,"607 West 3rd St, Ste 105, Austin, TX 78701",78701,4.3,419,,,f,"newamerican, seafood","new american, seafood",30.266775,-97.74998,"Austin, TX",restaurants
MGzro82Fi4LYvc86acoONQ,Franklin Barbecue,Austin,TX,"900 E 11th St, Austin, TX 78702",78702,4.5,6368,$$,2,f,bbq,barbeque,30.2701348,-97.7313451068641,"Austin, TX",restaurants
v1UzkU8lEWdjxq8byWFOKg,Gus's World Famous Fried Chicken - Austin,Austin,TX,"117 San Jacinto Blvd, Austin, TX 78701",78701,4.3,3414,$$,2,f,"southern, chickenshop, comfortfood","southern, chicken shop, comfort food",30.2634862,-97.7417305,"Austin, TX",restaurants
wB1qckz9iC0aq5XuWRmCIA,Jewboy Burgers,Austin,TX,"5111 Airport Blvd, Austin, TX 78751",78751,4.6,1660,$$,2,f,"burgers, diners","burgers, diners",30.3127408,-97.71508227214272,"Austin, TX",restaurants
qkpTiGcJbkNKgmCj4rmkkQ,Bouldin Creek Cafe,Austin,TX,"1900 S 1st St, Austin, TX 78704",78704,4.5,3056,$$,2,f,"vegetarian, cafes, vegan","vegetarian, cafes, vegan",30.24646,-97.75677,"Austin, TX",restaurants
IqNExVdP8Mr8GQa8OgozcA,Honey Moon Spirit Lounge,Austin,TX,"624 W 34th St, Austin, TX 78705",78705,4.4,295,,,f,"newamerican, lounges","new american, lounges",30.301011,-97.740579,"Austin, TX",restaurants
kCdONcIH6Fz5Gz3TmBWdTw,Garrison,Austin,TX,"101 Red River St, Austin, TX 78701",78701,4.6,296,,,f,"newamerican, seafood, desserts","new american, seafood, desserts",30.261996508728377,-97.73803640378569,"Austin, TX",restaurants
7PZKJbMakI_WSbgA-DJUHA,Banger’s Sausage House & Beer Garden,Austin,TX,"79 81 & 81.5 Rainey St, Austin, TX 78701",78701,4.1,2913,$$,2,f,"beergardens, breakfast_brunch, wine_bars","beer gardens, breakfast & brunch, wine bars",30.258905,-97.738413,"Austin, TX",restaurants
DSQCRlBZ_oy4kyTzqDfb9w,Dean's Italian Steakhouse,Austin,TX,"110 E 2nd St, Austin, TX 78701",78701,4.4,310,,,f,"steak, italian, seafood","steakhouses, italian, seafood",30.264372431796975,-97.74314047301984,"Austin, TX",restaurants
1Eq16r_MSnvPsnIykBdy9w,Home Slice Pizza,Austin,TX,"1415 S Congress St, Austin, TX 78704",78704,4.4,4871,$$,2,f,"pizza, sandwiches","pizza, sandwiches",30.2492254,-97.74955321609524,"Austin, TX",restaurants
pCIdgI3QYpzgrtLAmDemuA,Truluck's Ocean's Finest Seafood & Crab,Austin,TX,"300 Colorado St, Ste 100, Austin, TX 78701",78701,4.4,1150,$$$,3,f,"seafood, steak, cocktailbars","seafood, steakhouses, cocktail bars",30.265954,-97.745301,"Austin, TX",restaurants
jmmzYxurOoA_K_RtanzQow,Paperboy East,Austin,TX,"1203 E 11th St, Austin, TX 78702",78702,4.5,1373,$$,2,f,"coffee, breakfast_brunch, newamerican","coffee & tea, breakfast & brunch, new american",30.26847,-97.72761,"Austin, TX",restaurants
fWgfmVcdwx_vY4wSphV1Lw,Soto South Lamar,Austin,TX,"1100 S Lamar Blvd, Ste 2115, Austin, TX 78704",78704,4.3,720,$$$,3,f,"japanese, sushi, bars","japanese, sushi bars, bars",30.255700844821217,-97.76207951024544,"Austin, TX",restaurants
7kJab3nyBrRTfMMZMlgiSg,Este,Austin,TX,"2113 Manor Rd, Austin, TX 78722",78722,4.3,368,$$$,3,f,"seafood, wine_bars, cocktailbars","seafood, wine bars, cocktail bars",30.28420740251809,-97.71961013910531,"Austin, TX",restaurants
Fuv7Apt32H5_ihp0qDEbAg,Arlo Grey by Kristen Kish,Austin,TX,"111 E Cesar Chavez St, Austin, TX 78701",78701,3.9,494,$$$,3,f,"newamerican, cocktailbars","new american, cocktail bars",30.262724161102867,-97.74410642632972,"Austin, TX",restaurants
JW3SkLOUfGhcVQGosoozUA,Launderette,Austin,TX,"2115 Holly St, Austin, TX 78702",78702,4.2,1468,$$,2,f,"newamerican, breakfast_brunch, wine_bars","new american, breakfast & brunch, wine bars",30.25193,-97.72273,"Austin, TX",restaurants
Lcb9FB6Y_EhLEiJVUJ7tVA,Dai Due,Austin,TX,"2406 Manor Rd, Ste A, Austin, TX 78722",78722,4.3,784,$$$,3,f,"butcher, newamerican, breakfast_brunch","butcher, new american, breakfast & brunch",30.2848871297558,-97.7167839693365,"Austin, TX",restaurants
5ufHVEdJNPypB4v_UhUUUQ,Patrizi's,Austin,TX,"2307 Manor Rd, Austin, TX 78722",78722,4.4,1120,$$,2,f,italian,italian,30.2839715080976,-97.7172101465576,"Austin, TX",restaurants
UiiIGT4lbFQhuFIiI1P7DA,True Food Kitchen,Austin,TX,"222 W Ave, Ste HR100, Austin, TX 78701",78701,4.3,1323,$$,2,f,"newamerican, breakfast_brunch, comfortfood","new american, breakfast & brunch, comfort food",30.267256595152276,-97.75229656995631,"Austin, TX",restaurants
i1GWpxJ1Phm2awhVaTkouA,Juniper,Austin,TX,"2400 E Cesar Chavez St, Ste 304, Austin, TX 78702",78702,4.2,740,$$$$,4,f,"italian, newamerican, cocktailbars","italian, new american, cocktail bars",30.254867,-97.717182,"Austin, TX",restaurants
Tta8AYBZq3fwr1n2up75vQ,Eureka!,Austin,TX,"200 E 6th St, Austin, TX 78701",78701,4.1,1262,$$,2,f,tradamerican,american,30.267833034939414,-97.74124011397362,"Austin, TX",restaurants
FbZLY5XASP9phByStRTSaw,Doc B's Restaurant + Bar,Austin,TX,"3001 Palm Way, Ste 120, Austin, TX 78758",78758,4.4,944,$$,2,f,"newamerican, bars","new american, bars",30.402758,-97.719745,"Austin, TX",restaurants
Wn8j-1-ity6hdjP4bC_wkw,Sip Pho,Austin,TX,"512 W 29th St, Austin, TX 78705",78705,4.5,475,$$,2,f,"vietnamese, tapasmallplates, noodles","vietnamese, tapas/small plates, noodles",30.295421,-97.742327,"Austin, TX",restaurants
EoIJZMBqFwX-TNAj6rmctg,Ichi Umi Sushi,Austin,TX,"9503 Research Blvd, Ste 500, Austin, TX 78759",78759,4.3,1317,$$,2,f,"sushi, japanese, asianfusion","sushi bars, japanese, asian fusion",30.386785,-97.741872,"Austin, TX",restaurants
pS_RoFsMCMFvoFMSSCJR9w,Salt Traders Zilker,Austin,TX,"1101 S MoPac Expy, Austin, TX 78746",78746,4.3,539,$$,2,f,"seafood, bars, salad","seafood, bars, salad",30.26297,-97.784594,"Austin, TX",restaurants
eJ7X_8KXVlyHZtGrrLz4yg,Lamberts Downtown Barbecue,Austin,TX,"401 W 2nd St, Austin, TX 78701",78701,3.8,2088,$$,2,f,"bbq, bars, musicvenues","barbeque, bars, music venues",30.265235082587218,-97.74790507437532,"Austin, TX",restaurants
Unl62KlI0kwF8pToy7QjSA,Vic & Al's,Austin,TX,"2406 Manor Rd, Ste D, Austin, TX 78722",78722,4.6,629,$$,2,f,"cajun, bars, comfortfood","cajun/creole, bars, comfort food",30.2849835,-97.7168484,"Austin, TX",restaurants
97bK6WFJdJzy0oNNb3X6Hg,Fixe Austin's Southern House,Austin,TX,"500 W 5th St, Austin, TX 78701",78701,4.1,1040,$$$,3,f,"southern, newamerican, wine_bars","southern, new american, wine bars",30.26853,-97.74773,"Austin, TX",restaurants
8sEbM_ACHUbBsZ-TRZFXWA,Home Slice Pizza,Austin,TX,"501 E 53rd St, Austin, TX 78751",78751,4.5,968,$$,2,f,"pizza, sandwiches","pizza, sandwiches",30.3163524006061,-97.7183958217672,"Austin, TX",restaurants
8RPIjybMh5Eg90eVsv3fRQ,Via 313 Pizza,Austin,TX,"3016 Guadalupe St, Austin, TX 78705",78705,4.5,858,$$,2,f,pizza,pizza,30.29787158414248,-97.74147301566296,"Austin, TX",restaurants
gaDwde0ErnE4OJVLAuAUpw,Nido,Austin,TX,"1211 W Riverside Dr, Austin, TX 78704",78704,4.2,381,,,f,"newamerican, lounges","new american, lounges",30.26410527121516,-97.7566834256152,"Austin, TX",restaurants
ooRIabaNiaKtpEeEsIpTkw,Postino Bryker Woods,Austin,TX,"1615 W 35th St, Austin, TX 78703",78703,4.7,78,$$,2,f,"wine_bars, newamerican, cocktailbars","wine bars, new american, cocktail bars",30.307205,-97.751627,"Austin, TX",restaurants
acMhW2yiFCNU6PoGiHxvPQ,El Alma,Austin,TX,"1025 Barton Springs Rd, Austin, TX 78704",78704,4.1,1406,$$,2,f,mexican,mexican,30.2601,-97.75562,"Austin, TX",restaurants
4htpnlDZ6zAfpvEwPw1CDQ,Eddie V's Prime Seafood,Austin,TX,"301 E 5th St, Austin, TX 78701",78701,4.4,1486,$$$$,4,f,"seafood, steak, lounges","seafood, steakhouses, lounges",30.2662563,-97.7406372,"Austin, TX",restaurants
OD2IZRD5qopWWHHR-blN8Q,Ramen Tatsu-Ya,Austin,TX,"8557 Research Blvd, Ste 126, Austin, TX 78758",78758,4.1,3029,$$,2,f,ramen,ramen,30.36114124578393,-97.71522845863804,"Austin, TX",restaurants
J0oTYJx-dGn5yk926s6eGw,DeSano Pizzeria Napoletana,Austin,TX,"8000 Burnet Rd, Austin, TX 78757",78757,4.5,1131,$$,2,f,"pizza, italian","pizza, italian",30.35851,-97.73065,"Austin, TX",restaurants
PrWSjn4a8o4dHoqKs53GBA,Bird Bird Biscuit,Austin,TX,"2701 Manor Rd, Austin, TX 78722",78722,4.7,1802,$$,2,f,"breakfast_brunch, sandwiches","breakfast & brunch, sandwiches",30.284804,-97.713964,"Austin, TX",restaurants
GZfHsTQAabxdXB_z30h6kw,DeSano Pizzeria Napoletana,Austin,TX,"301 Lavaca St, Ste 200, Austin, TX 78701",78701,4.7,445,$$,2,f,"pizza, italian","pizza, italian",30.266290057218676,-97.7459750033982,"Austin, TX",restaurants
pSOf1v4Wcnxe09ErQmOtJw,Ember Kitchen,Austin,TX,"800 W Cesar Chavez St, Ste PP110, Austin, TX 78701",78701,4.6,336,,,f,"latin, seafood, cocktailbars","latin american, seafood, cocktail bars",30.266578,-97.752637,"Austin, TX",restaurants
ZJFIDLUiZ2Vs0NTj0pGVfg,Perry's Steakhouse & Grille - Downtown Austin,Austin,TX,"114 W 7th St, Austin, TX 78701",78701,4.1,1695,$$$,3,f,"steak, seafood, newamerican","steakhouses, seafood, new american",30.269628,-97.743311,"Austin, TX",restaurants
UacakYbLnef2TYU2YDrtuw,Perla's,Austin,TX,"1400 S Congress Ave, Ste B100, Austin, TX 78704",78704,3.9,2041,$$$,3,f,"seafood, bars","seafood, bars",30.24995731632653,-97.75009197444392,"Austin, TX",restaurants
4h-O6wPWswMbVowT_lYn9g,Tiki Tatsu-Ya,Austin,TX,"1300 S Lamar Blvd, Austin, TX 78704",78704,4.2,541,$$,2,f,"polynesian, tikibars, ramen","polynesian, tiki bars, ramen",30.25382,-97.76331,"Austin, TX",restaurants
z4fQL2IHUR4ENonH7A_9tQ,Fonda San Miguel,Austin,TX,"2330 W North Loop Blvd, Austin, TX 78756",78756,4.1,1320,$$$,3,f,mexican,mexican,30.3255963,-97.7433855358878,"Austin, TX",restaurants
EPkf96UcG2W3ttlQphWUGQ,la Barbecue,Austin,TX,"2401 E Cesar Chavez, Austin, TX 78702",78702,4.3,3167,$$,2,f,"bbq, sandwiches","barbeque, sandwiches",30.254551688240156,-97.7175824980666,"Austin, TX",restaurants
vwwG4ZL46BBXeZMdrhi8PQ,Eberly,Austin,TX,"615 S Lamar Blvd, Austin, TX 78704",78704,4,834,$$$,3,f,"bars, tradamerican","bars, american",30.258668,-97.758881,"Austin, TX",restaurants
GbsVsvABa4d3tDJRJdRs-Q,Jack Allen's Kitchen,Austin,TX,"3600 North Capital Of Texas Hwy, Bldg D, Austin, TX 78746",78746,4.3,680,$$,2,f,"southern, tradamerican","southern, american",30.3352434572574,-97.8075081023773,"Austin, TX",restaurants
TSKMu1M0HAFoPvCZuJxx1w,Comedor,Austin,TX,"501 Colorado St, Austin, TX 78701",78701,4.1,528,$$$$,4,f,mexican,mexican,30.267721,-97.744204,"Austin, TX",restaurants
Bz-NZ-2Dx6pztO0nvfD3JA,Nori,Austin,TX,"3208 Guadalupe St, Ste B, Austin, TX 78705",78705,4.6,285,$$$,3,f,"vegan, japanese","vegan, japanese",30.2999,-97.74031,"Austin, TX",restaurants
9e5lIroM6Eyd4aS26pWWEQ,Cooper's Old Time Pit Bar-B-Que,Austin,TX,"217 Congress Ave, Austin, TX 78701",78701,4,2193,$$,2,f,"bbq, sportsbars, cocktailbars","barbeque, sports bars, cocktail bars",30.2649407,-97.7437486714698,"Austin, TX",restaurants
4T4iO_t5iz6SbHrphY2fGA,CARVE American Grille - Central Austin,Austin,TX,"2613 Perseverance Dr, Austin, TX 78731",78731,4.1,224,,,f,"newamerican, breakfast_brunch, steak","new american, breakfast & brunch, steakhouses",30.31812,-97.75281,"Austin, TX",restaurants
U72ZAUh47P1cX-91jqLpJw,Emmer & Rye,Austin,TX,"51 Rainey St, Austin, TX 78701",78701,4,987,$$$,3,f,"tapasmallplates, newamerican","tapas/small plates, new american",30.256941357994524,-97.73933237013148,"Austin, TX",restaurants
iuy7Wk41ZlSzk2DhNv0ymQ,TenTen,Austin,TX,"501 W 6th St, Austin, TX 78701",78701,4.3,538,$$$,3,f,"japanese, sushi, cocktailbars","japanese, sushi bars, cocktail bars",30.26916,-97.74771,"Austin, TX",restaurants
27FZ6pNit3mbKA0MysZgaQ,Tatsumi Sushi,Austin,TX,"2700 W Anderson Ln, Ste 212, Austin, TX 78757",78757,4.7,638,$$$,3,f,"sushi, japanese","sushi bars, japanese",30.359108,-97.734542,"Austin, TX",restaurants
KYr5xhJZ4_7Dzm1wIrW__w,The Peached Tortilla,Austin,TX,"5520 Burnet Rd, Ste 100, Austin, TX 78756",78756,4.2,1119,$$,2,f,"asianfusion, southern","asian fusion, southern",30.33089,-97.74026,"Austin, TX",restaurants
43N-TKU1m-y4FljMA0VXCg,Culinary Dropout,Austin,TX,"11721 Rock Rose, Ste 100, Austin, TX 78758",78758,4.1,2119,$$,2,f,newamerican,new american,30.40344237657433,-97.7216,"Austin, TX",restaurants
2YSJoXu7pUe_BT5XqbPz4Q,Nomade,Austin,TX,"1506 S 1st St, Austin, TX 78704",78704,4.4,309,,,f,"mexican, seafood, breakfast_brunch","mexican, seafood, breakfast & brunch",30.249712,-97.755304,"Austin, TX",restaurants
67bZm-KQQCwSat7_jmiVbA,Hopdoddy Burger Bar,Austin,TX,"2438 W Anderson Ln, Ste100, Austin, TX 78757",78757,4,2039,$$,2,f,"burgers, juicebars, cocktailbars","burgers, juice bars & smoothies, cocktail bars",30.357638653378594,-97.7331304745033,"Austin, TX",restaurants
r0LLzy0DYJz02Nc4XCg7rw,Clark's Oyster Bar - Austin,Austin,TX,"1200 W 6th St, Austin, TX 78703",78703,4.1,879,$$$,3,f,"seafood, desserts, breakfast_brunch","seafood, desserts, breakfast & brunch",30.27296758753496,-97.75719738970636,"Austin, TX",restaurants
wQ8XK2NJAL2csx_LmZfz4g,Eldorado Cafe,Austin,TX,"3300 W Anderson Ln, Austin, TX 78757",78757,4.5,1040,$$,2,f,"mexican, breakfast_brunch, cocktailbars","mexican, breakfast & brunch, cocktail bars",30.362224,-97.7423571527181,"Austin, TX",restaurants
CqOkl94q9ttvYNWIITA8ow,Swift's Attic,Austin,TX,"315 Congress Ave, Austin, TX 78701",78701,4,1232,$$$,3,f,"newamerican, gastropubs, cocktailbars","new american, gastropubs, cocktail bars",30.26566,-97.743238,"Austin, TX",restaurants
I6OrRuUmbIYoVRevwlUTrg,J Prime Steakhouse - Austin,Austin,TX,"301 Brazos St, Ste 150, Austin, TX 78701",78701,4.5,240,$$$$,4,f,"steak, wine_bars, cocktailbars","steakhouses, wine bars, cocktail bars",30.264809599995186,-97.74160646441464,"Austin, TX",restaurants
nyDs0CD-lFysI3oIG9T5bw,Wu Chow,Austin,TX,"500 W 5th St, Austin, TX 78701",78701,3.9,1173,$$,2,f,"dimsum, noodles, cocktailbars","dim sum, noodles, cocktail bars",30.268829,-97.748147,"Austin, TX",restaurants
X7fLdR3A_0hJCBqv3-7O-A,Eddie V's Prime Seafood,Austin,TX,"9400 B Arboretum Blvd, Ste B, Austin, TX 78759",78759,4.4,663,$$$,3,f,"seafood, steak, lounges","seafood, steakhouses, lounges",30.38960524,-97.75295257,"Austin, TX",restaurants
yqL1P6wcSZYQAgpO3TfhBQ,Kemuri Tatsu-ya,Austin,TX,"2713 E 2nd St, Austin, TX 78702",78702,4,1049,$$$,3,f,"izakaya, smokehouse","izakaya, smokehouse",30.25386,-97.7129,"Austin, TX",restaurants
hpttZ0nryCCmV1hxwN3ZGg,ATX Cocina,Austin,TX,"110 San Antonio St, Ste 170, Austin, TX 78701",78701,4.2,782,$$$,3,f,mexican,mexican,30.264930789250577,-97.74928647433494,"Austin, TX",restaurants
SRwJ6tNJ6r7hQ3uQ7hIBpQ,Bartlett's,Austin,TX,"2408 W Anderson Ln, Austin, TX 78757",78757,4.1,1118,$$$,3,f,"steak, newamerican, seafood","steakhouses, new american, seafood",30.356725,-97.73124,"Austin, TX",restaurants
hveKjJmiPTcUS4sKuvZBYg,Jeffrey's,Austin,TX,"1204 W Lynn St, Austin, TX 78703",78703,4.1,565,$$$$,4,f,"tradamerican, desserts, wine_bars","american, desserts, wine bars",30.28047,-97.75919,"Austin, TX",restaurants
zDVjN3dC9EfQno21m3O8Pg,Stiles Switch BBQ & Brew,Austin,TX,"6610 N Lamar Blvd, Austin, TX 78757",78757,4.1,2115,$$,2,f,"bbq, chicken_wings","barbeque, chicken wings",30.33432,-97.7215,"Austin, TX",restaurants
MnO3YMUGAnkHm-iy5wo0mQ,Intero Restaurant,Austin,TX,"2612 E Cesar Chavez St, Austin, TX 78702",78702,4.6,619,$$$,3,f,"italian, desserts, cocktailbars","italian, desserts, cocktail bars",30.2538078303281,-97.7146533178121,"Austin, TX",restaurants
tG7C9aZpYmj0-Z8hZC-0cg,SLAB BBQ & Beer,Austin,TX,"9012 Research Blvd C4, Ste C4, Austin, TX 78758",78758,4.3,1351,$$,2,f,"bbq, beerbar","barbeque, beer bar",30.371378596230645,-97.72466797451716,"Austin, TX",restaurants
_dX5kPHrplgQOpk1hBE7mg,Simar Seafood  Cocina,Austin,TX,"9503 Research Blvd, Unit 400, Austin, TX 78759",78759,4.5,273,$$,2,f,"seafood, cocktailbars, mexican","seafood, cocktail bars, mexican",30.385998608767903,-97.74167823668532,"Austin, TX",restaurants
Arkwh6sIktiIjimtIiONXg,Lutie’s,Austin,TX,"4100 Red River St, Austin, TX 78751",78751,4.2,252,,,f,modern_european,modern european,30.300784,-97.722215,"Austin, TX",restaurants
lIXsFNSHZmhfD0dlbV4lSg,Santorini Cafe,Austin,TX,"11800 N Lamar Blvd, Austin, TX 78753",78753,4.7,1045,$$,2,f,"greek, wine_bars","greek, wine bars",30.387754325807133,-97.6841092,"Austin, TX",restaurants
tSUDZZ95ky1xiPXBGG6s1g,Uchibā Austin,Austin,TX,"601 W 2nd St, Austin, TX 78701",78701,4.4,230,$$,2,f,"cocktailbars, sushi, japanese","cocktail bars, sushi bars, japanese",30.2658,-97.74998,"Austin, TX",restaurants
xyvGNML9BW-3seLMqeYCWA,Colleen's Kitchen,Austin,TX,"1911 Aldrich St, Ste 100, Austin, TX 78723",78723,4,683,$$,2,f,"southern, newamerican, cocktailbars","southern, new american, cocktail bars",30.2984,-97.704748,"Austin, TX",restaurants
PXDwg6vXCzmpqnht6qmAnw,North Italia,Austin,TX,"500 W 2nd St, Ste 120, Austin, TX 78701",78701,3.9,817,$$,2,f,"italian, pizza, cocktailbars","italian, pizza, cocktail bars",30.26588,-97.74892,"Austin, TX",restaurants
KEh3efWSOIzd8BvuW-X4-g,Phoebe's Diner,Austin,TX,"533 W Oltorf St, Austin, TX 78704",78704,4.5,2032,$$,2,f,"breakfast_brunch, diners, tradamerican","breakfast & brunch, diners, american",30.2416132,-97.7588755,"Austin, TX",restaurants
aTuONbEHUx5BjyajRXWxcg,An Nyeong K Tofu & Bbq,Austin,TX,"5011 Burnet Rd, Austin, TX 78756",78756,4.6,177,$$,2,f,korean,korean,30.321701245378605,-97.7390392,"Austin, TX",restaurants
iiHcYdhd1CeDJjFZVCtKgg,Buddy's Burger,Austin,TX,"9001 Cameron Rd, Ste 101, Austin, TX 78754",78754,4.3,671,$,1,f,"burgers, tradamerican","burgers, american",30.34604078234463,-97.67666463864832,"Austin, TX",restaurants
A7M_2DiB8Xvj3NTs1RGfDg,Truluck's Ocean's Finest Seafood & Crab,Austin,TX,"10225 Research Blvd, Ste 4000, Austin, TX 78759",78759,4.3,751,$$$,3,f,"seafood, steak, venues","seafood, steakhouses, venues & event spaces",30.3952662489598,-97.7454305690891,"Austin, TX",restaurants
